"Break","Hour","Total Forecasts","Tide OK Count","Wind Speed OK Count","Wind Dir OK Count","Tide Rate","Wind Speed Rate","Wind Dir Rate"
"15th Street",6,48,17,47,5,0.354,0.979,0.104
"15th Street",7,48,24,48,6,0.5,1,0.125
"15th Street",8,48,27,48,5,0.563,1,0.104
"15th Street",9,48,15,48,1,0.313,1,0.021
"15th Street",10,48,11,48,0,0.229,1,0
"15th Street",11,48,9,48,0,0.188,1,0
"15th Street",12,48,9,47,0,0.188,0.979,0
"15th Street",13,48,15,48,0,0.313,1,0
"15th Street",14,48,21,47,0,0.438,0.979,0
"15th Street",15,48,27,48,0,0.563,1,0
"15th Street",16,48,26,48,0,0.542,1,0
"15th Street",17,48,0,48,0,0,1,0
"15th Street",18,48,0,48,0,0,1,0
"15th Street",19,48,0,48,0,0,1,0
"15th Street",20,48,0,48,0,0,1,0
"Beacons",6,48,18,47,12,0.375,0.979,0.25
"Beacons",7,48,20,48,13,0.417,1,0.271
"Beacons",8,48,18,47,2,0.375,0.979,0.042
"Beacons",9,48,18,47,0,0.375,0.979,0
"Beacons",10,48,15,45,0,0.313,0.938,0
"Beacons",11,48,16,43,0,0.333,0.896,0
"Beacons",12,48,15,39,0,0.313,0.813,0
"Beacons",13,48,24,33,0,0.5,0.688,0
"Beacons",14,48,33,24,0,0.688,0.5,0
"Beacons",15,48,38,30,0,0.792,0.625,0
"Beacons",16,48,42,34,0,0.875,0.708,0
"Beacons",17,48,32,40,0,0.667,0.833,0
"Beacons",18,48,0,43,0,0,0.896,0
"Beacons",19,48,0,47,0,0,0.979,0
"Beacons",20,48,0,48,0,0,1,0
"Blacks",6,48,16,47,4,0.333,0.979,0.083
"Blacks",7,48,18,47,4,0.375,0.979,0.083
"Blacks",8,48,21,47,4,0.438,0.979,0.083
"Blacks",9,48,15,48,0,0.313,1,0
"Blacks",10,48,6,45,0,0.125,0.938,0
"Blacks",11,48,4,45,0,0.083,0.938,0
"Blacks",12,48,7,44,0,0.146,0.917,0
"Blacks",13,48,9,38,0,0.188,0.792,0
"Blacks",14,48,15,33,0,0.313,0.688,0
"Blacks",15,48,21,35,0,0.438,0.729,0
"Blacks",16,48,0,41,0,0,0.854,0
"Blacks",17,48,0,44,0,0,0.917,0
"Blacks",18,48,0,47,0,0,0.979,0
"Blacks",19,48,0,48,0,0,1,0
"Blacks",20,48,0,48,0,0,1,0
"Cardiff Reef",6,48,18,47,10,0.375,0.979,0.208
"Cardiff Reef",7,48,20,48,10,0.417,1,0.208
"Cardiff Reef",8,48,18,47,8,0.375,0.979,0.167
"Cardiff Reef",9,48,18,48,1,0.375,1,0.021
"Cardiff Reef",10,48,15,48,0,0.313,1,0
"Cardiff Reef",11,48,16,48,0,0.333,1,0
"Cardiff Reef",12,48,15,47,0,0.313,0.979,0
"Cardiff Reef",13,48,24,48,0,0.5,1,0
"Cardiff Reef",14,48,33,47,0,0.688,0.979,0
"Cardiff Reef",15,48,38,48,0,0.792,1,0
"Cardiff Reef",16,48,42,48,0,0.875,1,0
"Cardiff Reef",17,48,32,48,0,0.667,1,0
"Cardiff Reef",18,48,0,48,0,0,1,0
"Cardiff Reef",19,48,0,48,0,0,1,0
"Cardiff Reef",20,48,0,48,0,0,1,0
"Grandview",6,48,13,47,13,0.271,0.979,0.271
"Grandview",7,48,9,48,12,0.188,1,0.25
"Grandview",8,48,12,48,3,0.25,1,0.063
"Grandview",9,48,12,48,0,0.25,1,0
"Grandview",10,48,5,47,0,0.104,0.979,0
"Grandview",11,48,4,45,0,0.083,0.938,0
"Grandview",12,48,6,41,0,0.125,0.854,0
"Grandview",13,48,7,33,0,0.146,0.688,0
"Grandview",14,48,12,29,0,0.25,0.604,0
"Grandview",15,48,21,29,0,0.438,0.604,0
