"Break","Break Type","Avg Rating","Avg Wave Height (ft)","Rank"
"Cardiff Reef","reef",2.13,2.46,1
"Oceanside Harbor","beach",2.06,2.6,2
"Oceanside Pier","beach",2.04,2.6,3
"Seaside Reef","reef",2.01,2.29,4
"Blacks","beach",2,3.22,5
"Swamis","reef",1.98,2.07,6
"Tamarack","beach",1.94,2.13,7
"Terramar","reef",1.94,2.1,8
"Windansea","reef",1.89,2.84,9
"Beacons","beach",1.86,2.03,10
"Pipes","beach",1.84,2.03,11
"15th Street","beach",1.79,1.85,12
"Tourmaline","reef",1.76,1.82,13
"Ocean Beach","beach",1.75,2.07,14
"Scripps Pier","beach",1.75,1.8,15
"Grandview","beach",1.65,2.11,16
