"Break","Dominant Swell","Dominant Height (m)","Dominant Period (s)","Dominant Direction","Meets Min Period","Avg Period All Swells"
"15th Street","Primary",0.82,5.05,275,"No",5.3
"15th Street","Primary",0.78,4.95,275,"No",5
"15th Street","Primary",0.74,4.8,270,"No",5.13
"15th Street","Primary",0.7,4.65,264,"No",5.45
"15th Street","Primary",0.66,4.6,259,"No",5.7
"15th Street","Primary",0.66,4.65,261,"No",5.72
"15th Street","Primary",0.64,4.7,264,"No",5.62
"15th Street","Primary",0.64,4.85,266,"No",5.6
"15th Street","Primary",0.58,5.1,268,"No",5.72
"15th Street","Primary",0.54,5.35,271,"No",5.85
"15th Street","Primary",0.48,5.45,273,"No",6
"15th Street","Primary",0.54,5.2,270,"No",6.22
"15th Street","Primary",0.62,4.8,268,"No",6.45
"15th Street","Primary",0.68,4.5,265,"No",6.62
"15th Street","Primary",0.68,4.25,266,"No",6.63
"15th Street","Primary",0.66,4.1,267,"No",6.62
"15th Street","Primary",0.66,4.5,268,"No",6.65
"15th Street","Primary",0.6,5.75,262,"No",6.83
"15th Street","Primary",0.54,7.5,257,"No",7.1
"15th Street","Primary",0.48,9.25,251,"No",7.37
"15th Street","Primary",0.44,10.95,237,"Yes",7.78
"15th Street","Primary",0.4,12.65,223,"Yes",8.27
"15th Street","Primary",0.36,13.95,209,"Yes",8.63
"15th Street","Primary",0.36,14.65,209,"Yes",8.78
"Beacons","Primary",0.74,4.8,268,"No",5.15
"Beacons","Primary",0.68,4.55,265,"No",4.67
"Beacons","Primary",0.64,4.4,264,"No",4.38
"Beacons","Primary",0.62,4.3,263,"No",4.18
"Beacons","Primary",0.58,4.3,262,"No",4.13
"Beacons","Primary",0.56,4.5,262,"No",4.28
"Beacons","Primary",0.54,4.85,262,"No",4.6
"Beacons","Primary",0.52,5,262,"No",4.95
"Beacons","Primary",0.56,4.8,262,"No",5.38
"Beacons","Primary",0.62,4.4,262,"No",5.78
"Beacons","Primary",0.66,4.1,262,"No",6.07
"Beacons","Primary",0.66,4.05,263,"No",6.13
"Beacons","Primary",0.68,4.15,263,"No",6.1
"Beacons","Primary",0.68,4.2,264,"No",6.1
"Beacons","Primary",0.68,4.2,265,"No",6.25
"Beacons","Primary",0.66,4.2,265,"No",6.45
"Beacons","Primary",0.66,4.2,266,"No",6.6
"Beacons","Primary",0.64,4.05,267,"No",6.6
"Beacons","Primary",0.62,3.95,268,"No",6.55
"Beacons","Primary",0.6,4.2,269,"No",6.55
"Beacons","Primary",0.56,4.95,269,"No",6.82
"Beacons","Primary",0.52,6.1,269,"No",7.22
"Beacons","Primary",0.48,7.7,269,"No",7.63
"Beacons","Primary",0.44,10.25,248,"No",8.07
"Blacks","Primary",0.8,5.45,286,"No",4.78
"Blacks","Primary",0.74,5.45,291,"No",4.25
"Blacks","Primary",0.7,5.2,277,"No",4.27
"Blacks","Primary",0.66,4.8,263,"No",4.53
"Blacks","Primary",0.62,4.5,249,"No",4.77
"Blacks","Primary",0.64,4.4,254,"No",4.83
"Blacks","Primary",0.68,4.4,259,"No",4.88
"Blacks","Primary",0.7,4.45,264,"No",5.07
"Blacks","Primary",0.68,4.55,264,"No",5.53
"Blacks","Primary",0.68,4.65,264,"No",6.1
"Blacks","Primary",0.66,4.7,264,"No",6.53
"Blacks","Primary",0.68,4.55,265,"No",6.7
"Blacks","Primary",0.7,4.35,265,"No",6.73
"Blacks","Primary",0.72,4.35,266,"No",6.78
"Blacks","Primary",0.7,4.6,268,"No",6.92
"Blacks","Primary",0.66,5.05,269,"No",7.08
"Blacks","Primary",0.64,5.55,271,"No",7.2
"Blacks","Primary",0.6,6.05,271,"No",7.2
"Blacks","Primary",0.58,6.65,272,"No",7.18
"Blacks","Primary",0.54,7.3,272,"No",7.23
"Blacks","Primary",0.52,8.05,273,"No",7.47
"Blacks","Primary",0.5,8.9,274,"No",7.77
"Blacks","Primary",0.48,10,275,"No",8.08
"Blacks","Primary",0.44,11.8,252,"No",8.43
"Cardiff Reef","Primary",0.74,4.8,268,"No",5.15
"Cardiff Reef","Primary",0.68,4.55,265,"No",4.67
"Cardiff Reef","Primary",0.64,4.4,264,"No",4.38
"Cardiff Reef","Primary",0.62,4.3,263,"No",4.18
"Cardiff Reef","Primary",0.58,4.3,262,"No",4.13
"Cardiff Reef","Primary",0.56,4.5,262,"No",4.28
"Cardiff Reef","Primary",0.54,4.85,262,"No",4.6
"Cardiff Reef","Primary",0.52,5,262,"No",4.95
"Cardiff Reef","Primary",0.56,4.8,262,"No",5.38
"Cardiff Reef","Primary",0.62,4.4,262,"No",5.78
"Cardiff Reef","Primary",0.66,4.1,262,"No",6.07
