"Break","Forecast For","Collected At","Days Out","Predicted Rating","Latest Rating","Absolute Error","Previous Rating","Rating Change"
"15th Street",2026-04-26 07:00:00,2026-04-27,-0.7,1.35,1.35,0,NA,NA
"15th Street",2026-04-26 08:00:00,2026-04-27,-0.7,1.39,1.39,0,NA,NA
"15th Street",2026-04-26 09:00:00,2026-04-27,-0.6,1.25,1.25,0,NA,NA
"15th Street",2026-04-26 10:00:00,2026-04-27,-0.6,1.12,1.12,0,NA,NA
"15th Street",2026-04-26 11:00:00,2026-04-27,-0.5,1.24,1.24,0,NA,NA
"15th Street",2026-04-26 12:00:00,2026-04-27,-0.5,1.09,1.09,0,NA,NA
"15th Street",2026-04-26 13:00:00,2026-04-27,-0.5,1.06,1.06,0,NA,NA
"15th Street",2026-04-26 14:00:00,2026-04-27,-0.4,1.11,1.11,0,NA,NA
"15th Street",2026-04-26 15:00:00,2026-04-27,-0.4,1.07,1.07,0,NA,NA
"15th Street",2026-04-26 16:00:00,2026-04-27,-0.3,1.27,1.27,0,NA,NA
"15th Street",2026-04-26 17:00:00,2026-04-27,-0.3,1.15,1.15,0,NA,NA
"15th Street",2026-04-26 18:00:00,2026-04-27,-0.3,1.21,1.21,0,NA,NA
"15th Street",2026-04-26 19:00:00,2026-04-27,-0.2,1.21,1.21,0,NA,NA
"15th Street",2026-04-26 20:00:00,2026-04-27,-0.2,1.12,1.12,0,NA,NA
"15th Street",2026-04-26 21:00:00,2026-04-27,-0.1,1.1,1.1,0,NA,NA
"15th Street",2026-04-26 22:00:00,2026-04-27,-0.1,1.09,1.09,0,NA,NA
"15th Street",2026-04-26 23:00:00,2026-04-27,0,1.11,1.11,0,NA,NA
"15th Street",2026-04-27,2026-04-27,0,1.16,1.16,0,NA,NA
"15th Street",2026-04-27 01:00:00,2026-04-27,0,1.1,1.1,0,NA,NA
"15th Street",2026-04-27 02:00:00,2026-04-27,0.1,1.13,1.13,0,NA,NA
"15th Street",2026-04-27 03:00:00,2026-04-27,0.1,1.16,1.16,0,NA,NA
"15th Street",2026-04-27 04:00:00,2026-04-27,0.2,1.13,1.13,0,NA,NA
"15th Street",2026-04-27 05:00:00,2026-04-27,0.2,1.31,1.31,0,NA,NA
"15th Street",2026-04-27 06:00:00,2026-04-27,0.3,1.4,1.4,0,NA,NA
"15th Street",2026-04-27 07:00:00,2026-04-27,0.3,1.58,1.72,0.14,NA,NA
"15th Street",2026-04-27 07:00:00,2026-04-28 01:00:00,-0.8,1.72,1.72,0,1.58,0.14
"15th Street",2026-04-27 08:00:00,2026-04-27,0.3,1.6,1.67,0.07,NA,NA
"15th Street",2026-04-27 08:00:00,2026-04-28 01:00:00,-0.7,1.67,1.67,0,1.6,0.07
"15th Street",2026-04-27 09:00:00,2026-04-27,0.4,1.53,1.67,0.14,NA,NA
"15th Street",2026-04-27 09:00:00,2026-04-28 01:00:00,-0.7,1.67,1.67,0,1.53,0.14
"15th Street",2026-04-27 10:00:00,2026-04-27,0.4,1.52,1.65,0.13,NA,NA
"15th Street",2026-04-27 10:00:00,2026-04-28 01:00:00,-0.6,1.65,1.65,0,1.52,0.13
"15th Street",2026-04-27 11:00:00,2026-04-27,0.5,1.7,1.66,0.04,NA,NA
"15th Street",2026-04-27 11:00:00,2026-04-28 01:00:00,-0.6,1.66,1.66,0,1.7,-0.04
"15th Street",2026-04-27 12:00:00,2026-04-27,0.5,1.62,1.51,0.11,NA,NA
"15th Street",2026-04-27 12:00:00,2026-04-28 01:00:00,-0.5,1.51,1.51,0,1.62,-0.11
"15th Street",2026-04-27 13:00:00,2026-04-27,0.5,1.59,1.5,0.09,NA,NA
"15th Street",2026-04-27 13:00:00,2026-04-28 01:00:00,-0.5,1.5,1.5,0,1.59,-0.09
"15th Street",2026-04-27 14:00:00,2026-04-27,0.6,1.6,1.55,0.05,NA,NA
"15th Street",2026-04-27 14:00:00,2026-04-28 01:00:00,-0.5,1.55,1.55,0,1.6,-0.05
"15th Street",2026-04-27 15:00:00,2026-04-27,0.6,1.63,1.46,0.17,NA,NA
"15th Street",2026-04-27 15:00:00,2026-04-28 01:00:00,-0.4,1.46,1.46,0,1.63,-0.17
"15th Street",2026-04-27 16:00:00,2026-04-27,0.7,1.82,1.48,0.34,NA,NA
"15th Street",2026-04-27 16:00:00,2026-04-28 01:00:00,-0.4,1.48,1.48,0,1.82,-0.34
"15th Street",2026-04-27 17:00:00,2026-04-27,0.7,1.79,1.64,0.15,NA,NA
"15th Street",2026-04-27 17:00:00,2026-04-28 01:00:00,-0.3,1.64,1.64,0,1.79,-0.15
"15th Street",2026-04-27 18:00:00,2026-04-27,0.8,1.9,1.61,0.29,NA,NA
"15th Street",2026-04-27 18:00:00,2026-04-28 01:00:00,-0.3,1.61,1.61,0,1.9,-0.29
"15th Street",2026-04-27 19:00:00,2026-04-27,0.8,1.91,1.57,0.34,NA,NA
"15th Street",2026-04-27 19:00:00,2026-04-28 01:00:00,-0.3,1.57,1.57,0,1.91,-0.34
"15th Street",2026-04-27 20:00:00,2026-04-27,0.8,1.7,1.49,0.21,NA,NA
"15th Street",2026-04-27 20:00:00,2026-04-28 01:00:00,-0.2,1.49,1.49,0,1.7,-0.21
"15th Street",2026-04-27 21:00:00,2026-04-27,0.9,1.52,1.51,0.01,NA,NA
"15th Street",2026-04-27 21:00:00,2026-04-28 01:00:00,-0.2,1.51,1.51,0,1.52,-0.01
"15th Street",2026-04-27 22:00:00,2026-04-27,0.9,1.54,1.44,0.1,NA,NA
"15th Street",2026-04-27 22:00:00,2026-04-28 01:00:00,-0.1,1.44,1.44,0,1.54,-0.1
"15th Street",2026-04-27 23:00:00,2026-04-27,1,1.33,1.32,0.01,NA,NA
