"Break","Days Out","Avg Predicted Rating","Avg Absolute Error","Forecast Count"
"15th Street",7.9,1.86,0,2
"15th Street",7.8,1.67,0,3
"15th Street",7.7,1.24,0,2
"15th Street",7.6,1.31,0,2
"15th Street",7.5,1.47,0,3
"15th Street",7.4,1.78,0,2
"15th Street",7.3,1.76,0.095,4
"15th Street",7.2,1.49,0.071,10
"15th Street",7.1,1.45,0.094,12
"15th Street",7,1.39,0.174,18
"15th Street",6.9,1.42,0.214,12
"15th Street",6.8,1.52,0.148,18
"15th Street",6.7,1.62,0.123,12
"15th Street",6.6,1.76,0.178,12
"15th Street",6.5,1.82,0.105,18
"15th Street",6.4,1.85,0.049,12
"15th Street",6.3,1.75,0.035,18
"15th Street",6.2,1.63,0.07,12
"15th Street",6.1,1.56,0.088,12
"15th Street",6,1.48,0.091,18
"15th Street",5.9,1.43,0.165,12
"15th Street",5.8,1.49,0.173,18
"15th Street",5.7,1.57,0.144,12
"15th Street",5.6,1.71,0.187,12
"15th Street",5.5,1.78,0.208,18
"15th Street",5.4,1.83,0.187,12
"15th Street",5.3,1.72,0.129,18
"15th Street",5.2,1.58,0.047,12
"15th Street",5.1,1.6,0.08,12
"15th Street",5,1.53,0.064,18
"15th Street",4.9,1.51,0.084,12
"15th Street",4.8,1.54,0.083,18
"15th Street",4.7,1.69,0.06,12
"15th Street",4.6,1.88,0.066,12
"15th Street",4.5,1.97,0.047,18
"15th Street",4.4,1.95,0.041,12
"15th Street",4.3,1.82,0.054,18
"15th Street",4.2,1.63,0.04,12
"15th Street",4.1,1.59,0.035,12
"15th Street",4,1.57,0.067,18
"15th Street",3.9,1.54,0.063,12
"15th Street",3.8,1.56,0.063,18
"15th Street",3.7,1.72,0.089,12
"15th Street",3.6,1.82,0.128,12
"15th Street",3.5,1.96,0.086,18
"15th Street",3.4,2.02,0.036,12
"15th Street",3.3,1.95,0.067,18
"15th Street",3.2,1.73,0.048,12
"15th Street",3.1,1.6,0.028,12
"15th Street",3,1.49,0.062,18
"15th Street",2.9,1.48,0.085,12
"15th Street",2.8,1.52,0.099,18
"15th Street",2.7,1.67,0.045,12
"15th Street",2.6,1.82,0.064,12
"15th Street",2.5,2,0.073,18
"15th Street",2.4,2.04,0.066,12
"15th Street",2.3,1.95,0.053,18
"15th Street",2.2,1.74,0.018,12
"15th Street",2.1,1.66,0.042,12
"15th Street",2,1.55,0.061,18
"15th Street",1.9,1.48,0.055,12
"15th Street",1.8,1.56,0.058,18
"15th Street",1.7,1.68,0.064,12
"15th Street",1.6,1.79,0.068,12
"15th Street",1.5,1.95,0.061,18
"15th Street",1.4,2.04,0.057,12
"15th Street",1.3,2,0.065,18
"15th Street",1.2,1.71,0.071,12
"15th Street",1.1,1.62,0.014,12
"15th Street",1,1.51,0.028,18
"15th Street",0.9,1.47,0.059,12
"15th Street",0.8,1.54,0.078,18
"15th Street",0.7,1.61,0.106,12
"15th Street",0.6,1.76,0.073,12
"15th Street",0.5,1.87,0.059,18
"15th Street",0.4,1.93,0.08,12
"15th Street",0.3,1.9,0.084,18
"15th Street",0.2,1.67,0.037,12
"15th Street",0.1,1.54,0,12
"15th Street",0,1.48,0,18
"15th Street",-0.1,1.34,0,10
"15th Street",-0.2,1.38,0,10
"15th Street",-0.3,1.53,0,15
"15th Street",-0.4,1.6,0,10
"15th Street",-0.5,1.75,0,15
"15th Street",-0.6,1.87,0,10
"15th Street",-0.7,1.87,0,10
"15th Street",-0.8,1.97,0,6
"Beacons",7.9,1.89,0,2
"Beacons",7.8,1.7,0,3
"Beacons",7.7,1.19,0,2
"Beacons",7.6,1.52,0,2
"Beacons",7.5,1.6,0,3
"Beacons",7.4,1.84,0,2
"Beacons",7.3,1.82,0.138,4
"Beacons",7.2,1.58,0.11,10
"Beacons",7.1,1.58,0.108,12
"Beacons",7,1.47,0.153,18
"Beacons",6.9,1.47,0.146,12
"Beacons",6.8,1.55,0.087,18
"Beacons",6.7,1.69,0.084,12
"Beacons",6.6,1.86,0.131,12
"Beacons",6.5,1.97,0.15,18
"Beacons",6.4,1.99,0.131,12
"Beacons",6.3,1.87,0.098,18
"Beacons",6.2,1.77,0.108,12
"Beacons",6.1,1.71,0.164,12
"Beacons",6,1.59,0.107,18
"Beacons",5.9,1.52,0.133,12
"Beacons",5.8,1.56,0.121,18
"Beacons",5.7,1.65,0.129,12
"Beacons",5.6,1.82,0.155,12
"Beacons",5.5,1.98,0.172,18
"Beacons",5.4,1.97,0.141,12
"Beacons",5.3,1.87,0.141,18
"Beacons",5.2,1.73,0.117,12
"Beacons",5.1,1.71,0.107,12
"Beacons",5,1.59,0.082,18
"Beacons",4.9,1.45,0.097,12
"Beacons",4.8,1.5,0.091,18
"Beacons",4.7,1.69,0.102,12
"Beacons",4.6,1.9,0.088,12
"Beacons",4.5,2.01,0.054,18
"Beacons",4.4,2.02,0.056,12
"Beacons",4.3,1.96,0.089,18
"Beacons",4.2,1.78,0.065,12
"Beacons",4.1,1.68,0.054,12
"Beacons",4,1.62,0.088,18
"Beacons",3.9,1.54,0.084,12
"Beacons",3.8,1.53,0.103,18
"Beacons",3.7,1.71,0.077,12
"Beacons",3.6,1.84,0.148,12
"Beacons",3.5,2.05,0.066,18
"Beacons",3.4,2.09,0.044,12
"Beacons",3.3,2.04,0.096,18
"Beacons",3.2,1.87,0.044,12
"Beacons",3.1,1.7,0.051,12
"Beacons",3,1.59,0.047,18
"Beacons",2.9,1.54,0.061,12
"Beacons",2.8,1.5,0.122,18
"Beacons",2.7,1.71,0.062,12
"Beacons",2.6,1.88,0.086,12
